Symbol,Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume,Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BQX,BQX-USD,Bitquence USD,2.24,0.22,11.03%,498.1M,0,0,14.573M,222.295M
LINK,LINK-USD,ChainLink USD,0.462477,-0.020559,-4.26%,462.477M,0,0,22.154M,1B
GBYTE,GBYTE-USD,Byteball USD,684.66,-69.41,-9.20%,441.759M,0,0,7.355M,"645,222"
VTC,VTC-USD,VertCoin USD,10.49,0.48,4.80%,441.645M,"2,037","19,964",36.562M,42.102M
AE,AE-USD,Aeternity USD,1.54,0.24,18.23%,422.256M,0,0,5.64M,273.686M
XUC,XUC-USD,Exchange Union USD,16.48,0.28,1.73%,408.68M,"66,659","166,140",3.107M,24.799M
DGB,DGB-USD,DigiByte USD,0.0415,0.0037,9.79%,397.164M,"21,597","88,124",64.3M,9.57B
FCT,FCT-USD,Factoids USD,43.66,2.02,4.85%,382.227M,0,0,12.191M,8.754M
DGD,DGD-USD,Digix DAO USD,188.42,-6.79,-3.48%,376.738M,0,0,9.585M,1.999M
SUB,SUB-USD,Substratum Network USD,0.63,-0.01,-1.25%,372.96M,"1,128","18,530",7.156M,592M
PIVX,PIVX-USD,Private Instant Verified Transaction USD,8.07,0.07,0.90%,364.978M,0,"7,142",5.163M,45.222M
BNT,BNT-USD,Bancor Network Token USD,4.81,0.23,5.02%,359.634M,"110,023","778,192",10.756M,74.768M
LKK,LKK-USD,Lykke USD,0.275874,-0.009712,-3.40%,354.688M,0,"6,339","34,697",1.286B
MAID,MAID-USD,MaidSafe Coin USD,0.7518,0.0217,2.97%,340.229M,"20,900","119,991",9.367M,452.552M
GAS,GAS-USD,Gas USD,37.84,-1.06,-2.72%,325.274M,0,0,12.358M,8.597M
SYS,SYS-USD,SysCoin USD,0.609595,0.007544,1.25%,322.866M,0,863,20.196M,529.641M
STEEM,STEEM-USD,Steem USD,3.19,0.32,11.26%,317.773M,0,0,14.874M,99.692M
BTCD,BTCD-USD,BitcoinDark USD,213.32,0.75,0.35%,280.294M,0,0,"718,340",1.314M
FRST,FRST-USD,FirstCoin USD,19.18,0,0.00%,259.617M,0,"1,013","35,594",13.536M
EDG,EDG-USD,Edgeless USD,1.89,-0.02,-0.79%,249.306M,0,0,16.807M,132.047M
ICN,ICN-USD,Iconomi USD,2.45,0.09,4.00%,245.196M,0,0,5.485M,100M
XZC,XZC-USD,ZCoin USD,70.47,2.68,3.95%,232.311M,0,0,15.244M,3.297M
NXS,NXS-USD,Nexus USD,4.15,-0.06,-1.35%,226.026M,0,0,2.229M,54.471M
GAME,GAME-USD,Gamecredits USD,3.46,0.11,3.32%,222.736M,0,174,8.057M,64.355M
SNM,SNM-USD,SONM USD,0.44984,0.071861,19.01%,199.729M,0,344,14.893M,444M
NAV,NAV-USD,NavCoin USD,3.21,0.09,2.97%,199.396M,0,0,18.359M,62.187M
ATM,ATM-USD,Autumncoin USD,0.018,-0.004,-18.55%,180M,"6,829","30,536","96,645",10B
SNGLS,SNGLS-USD,SingularDTV USD,0.174844,0.01905,12.23%,174.844M,0,29,7.162M,1B
BLOCK,BLOCK-USD,BlockNet USD,32.69,1.17,3.71%,161.246M,0,0,"971,269",4.933M
SMART,SMART-USD,SmartCash USD,0.134858,0.009431,7.52%,145.347M,0,"9,268","398,615",1.078B
MCAP,MCAP-USD,MCAP USD,1.31,0,0.00%,130.587M,0,0,"22,141",100M
ANT,ANT-USD,Aragon USD,3.32,0.13,4.14%,131.636M,0,242,3.674M,39.61M
UBQ,UBQ-USD,Ubiq USD,3.11,0.09,3.12%,118.218M,0,0,3.287M,37.987M
KIN,KIN-USD,Kin USD,0.000155,0.000008,5.55%,117.248M,0,0,"407,812",756.098B
QRL,QRL-USD,Quantum Resistant Ledger USD,1.78,-0.01,-0.38%,115.696M,0,0,3.008M,65M
ZEN,ZEN-USD,ZenCash USD,40.66,2.38,6.21%,113.067M,0,0,3.572M,2.78M
ADX,ADX-USD,AdEx USD,1.79,0.06,3.24%,107.886M,0,0,19.931M,60.248M
PART,PART-USD,Particl USD,12.52,0.55,4.57%,110.288M,0,0,1.543M,8.806M
ETP,ETP-USD,Metaverse USD,4.6,0.28,6.48%,103.96M,2.659M,12.768M,17.083M,22.6M
DNT,DNT-USD,district0x USD,0.101473,0.005281,5.49%,101.473M,0,0,9.13M,1B
XCP,XCP-USD,CounterParty USD,37.36,3.87,11.54%,97.147M,0,0,2.836M,2.6M
RLC,RLC-USD,iExec USD,1.04,0.06,6.69%,90.054M,0,0,2.131M,87M
WINGS,WINGS-USD,Wings DAO USD,0.893456,-0.043381,-4.63%,89.346M,0,0,3.144M,100M
