Date,Open,High,Low,Close,Volume
2016-09-07,613.21,629.3,611.25,625.57,22710390.64
2016-09-08,625.57,627.58,617.32,623.16,17710151.19
2016-09-09,623.16,627.45,621.07,624.52,9600113.74
2016-09-10,624.52,630.77,592.79,605.61,22467346.61
2016-09-11,605.61,610.62,603.03,607.98,17058938.65
2016-09-12,607.98,612.03,604.87,608.61,16850869.45
2016-09-13,608.61,612.16,606.39,609.54,14878860.18
2016-09-14,609.54,610.73,605.1,608.11,13892193.46
2016-09-15,608.11,610.36,605.15,607.78,13353736.94
2016-09-16,607.78,609.61,604.52,607.08,9724490.11
2016-09-17,607.08,612.38,605.22,610.7,10004923.58
2016-09-18,610.7,612.41,606.99,609.85,12981851.28
2016-09-19,609.85,611.27,605.93,609.24,13809380.94
2016-09-20,609.24,608.82,591.69,597.16,22059386.51
2016-09-21,597.16,599.78,592.83,595.63,13463966.31
2016-09-22,595.63,603.7,594.11,602.92,15567036.24
2016-09-23,602.92,605.92,600.5,602.59,8196210.74
2016-09-24,602.59,604.87,598.35,601.49,8038079.81
2016-09-25,601.49,608.46,598.17,606.54,16700407.53
2016-09-26,606.54,608.97,601.73,605.47,15534315.77
2016-09-27,605.47,606.9,602.62,604.67,11485005.36
2016-09-28,604.67,607.23,602.01,604.7,15403975.48
2016-09-29,604.7,608.78,602.25,608.14,14534745.84
2016-09-30,608.14,615,607.07,613.41,10415543.03
2016-10-01,613.41,614.21,607.67,610.69,10096653.77
2016-10-02,610.69,613.2,608.47,611.6,13462741.8
2016-10-03,611.6,612.68,606.5,608.96,15300692.52
2016-10-04,608.96,613.65,607.98,611.82,14360536.88
2016-10-05,611.82,612.68,608.54,610.97,13276337.45
2016-10-06,610.97,619.43,609.12,616.03,20167399.2
2016-10-07,616.03,619.56,614.88,617.65,8467434
2016-10-08,617.65,618.35,613.01,615.77,8320759.4
2016-10-09,615.77,618.81,612.76,617.29,15597892.34
2016-10-10,617.29,642.35,615.6,640.45,35367127.91
2016-10-11,640.45,642.51,632.19,635.99,17240000.95
2016-10-12,635.99,639.52,632.25,635.6,16387361.92
2016-10-13,635.6,640.46,630.66,637.92,20114873.61
2016-10-14,637.92,641.4,635.06,637.03,7970927.57
2016-10-15,637.03,642.18,636.39,640.12,8306925.43
2016-10-16,640.12,641.29,634.89,637.37,17742610.19
2016-10-17,637.37,639.34,632.23,635.34,15725013.13
2016-10-18,635.34,637.27,624.09,629.06,22379197.69
2016-10-19,629.06,630.83,625.48,628.34,13252110.98
2016-10-20,628.34,633.26,627.58,630.45,17836383.25
2016-10-21,630.45,659.89,629.72,655.48,24154228.12
2016-10-22,655.48,661.2,648.78,653.03,14418212.04
2016-10-23,653.03,654.32,645.68,650.49,21726106.55
2016-10-24,650.49,662.54,647.65,651,24179462.12
2016-10-25,651,678.39,651.39,674.67,31949607.32
2016-10-26,674.67,687.88,672.26,682.3,31862181.34
2016-10-27,682.3,688.43,678.63,686.24,26829414
2016-10-28,686.24,720.19,685.22,714.95,38351348.64
2016-10-29,714.95,714.91,689.51,697.27,27793236.64
2016-10-30,697.27,707.21,682.17,698.67,26687188.09
2016-10-31,698.67,734.36,695.2,726.76,49453950.69
2016-11-01,726.76,735.78,718.14,733.51,28452232.03
2016-11-02,733.51,744.43,670.4,684.87,69067917.54
2016-11-03,684.87,706.64,681.27,702.08,33762721.43
2016-11-04,702.08,706.38,694.03,702.11,15554565.72
2016-11-05,702.11,714.13,697.63,709.91,18363567.63
2016-11-06,709.91,711.66,698.35,705.4,21797370.12
2016-11-07,705.4,714.63,700.96,710.9,28262235.71
2016-11-08,710.9,741.23,707.13,721.42,51548567.54
2016-11-09,721.42,723.02,707.31,714.57,23931322.76
2016-11-10,714.57,719.79,711.67,714.97,18386841.21
2016-11-11,714.97,717.37,701.08,704.27,19677656.63
2016-11-12,704.27,705.61,685.01,701.97,25249834.8
2016-11-13,701.97,708.03,696.11,704.56,26613445.03
2016-11-14,704.56,716.93,697.91,711.1,29562740.26
2016-11-15,711.1,745.98,708.14,740.28,58304902.39
2016-11-16,740.28,751.91,730.08,737.53,46942756.4
2016-11-17,737.53,751.43,730.95,746.96,29666065.54
2016-11-18,746.96,755.34,737.44,747.89,19276573.28
2016-11-19,747.89,752.26,712.77,728.51,34876785.19
2016-11-20,728.51,744.33,726.55,736.19,24010681.87
2016-11-21,736.19,754.01,730.62,749.34,33225195.21
2016-11-22,749.34,750.93,731.34,741.07,28258203.98
2016-11-23,741.07,744.24,726.19,735.31,27531777.52
2016-11-24,735.31,741.25,728.97,740.39,21299510.69
2016-11-25,740.39,740.96,725.62,734.14,16682481.58
2016-11-26,734.14,738.29,727.11,729.42,15735824.63
2016-11-27,729.42,738.1,727.74,733.3,25153838.93
2016-11-28,733.3,737.04,727.78,732.56,24030304.1
2016-11-29,732.56,745.39,730.57,742.49,29210351.41
2016-11-30,742.49,755.48,741.08,752.63,40690942.17
2016-12-01,752.63,779.02,752.25,770.94,48893613.64
2016-12-02,770.94,772.32,755.81,764.24,30234128.1
2016-12-03,764.24,769.23,758.8,766.39,14755120.48
2016-12-04,766.39,769.18,746.01,754.34,39082688.28
2016-12-05,754.34,762.48,750.91,758.21,25497771.6
2016-12-06,758.21,769.02,754.27,765.56,26755412.58
2016-12-07,765.56,773.41,761.17,768.49,22208497.22
2016-12-08,768.49,773.48,765.03,770.48,18722048.47
2016-12-09,770.48,776.96,769.19,774,14049110.07
2016-12-10,774,774.16,763,767.91,13269086.38
2016-12-11,767.91,781.26,767.86,778.47,22442991.37
2016-12-12,778.47,790.33,767.77,778.74,25894856.06
2016-12-13,778.74,780.77,771.01,776.5,19326375.41
2016-12-14,776.5,780.27,773.12,775.21,20452116.66
2016-12-15,775.21,783.94,773.31,782.05,21650384.64
2016-12-16,782.05,791.57,779.36,787.17,18648778.51
2016-12-17,787.17,791.26,783.8,789.01,11525747.48
2016-12-18,789.01,793.73,786.31,789.79,20238681.94
2016-12-19,789.79,800.02,787.12,799.1,27406319.09
2016-12-20,799.1,833.13,795.98,829.21,53411082.07
2016-12-21,829.21,874.68,828.87,860.15,60511618.45
2016-12-22,860.15,920.26,858.04,917.17,91802931.23
2016-12-23,917.17,920.49,880.79,891.07,41576781.41
2016-12-24,891.07,895.24,851.42,891.07,37173377.51
2016-12-25,891.07,909.32,885.88,898.38,35002753.4
2016-12-26,898.38,937.91,893.38,925.78,45966615.06
2016-12-27,925.78,974.51,925.49,972.17,73811803.99
2016-12-28,972.17,982.57,949.23,971.08,59226667.89
2016-12-29,971.08,971.59,927.4,959.04,67449149.3
2016-12-30,959.04,965.47,942.4,963.38,26379401.89
2016-12-31,963.38,1001.61,956.1,995.44,40570922.99
2017-01-01,995.44,1031.68,990.2,1017.05,66038073.34
2017-01-02,1017.05,1035.47,1006.53,1033.3,56085870.7
2017-01-03,1033.3,1148.54,1022.32,1135.41,170584623.04
2017-01-04,1135.41,1150.63,874.53,989.35,244839289.77
2017-01-05,989.35,1027.42,852.55,886.16,179160668.84
2017-01-06,886.16,900.86,806.66,888.87,113037531.71
2017-01-07,888.87,936.13,875.85,900.86,70298340.37
2017-01-08,900.86,910.47,870.91,899.78,55963281.18
2017-01-09,899.78,911.32,890.12,904.37,48644106.82
2017-01-10,904.37,917.65,751.63,785.43,160194109.8
2017-01-11,785.43,828.21,739.55,810.11,93986701.88
2017-01-12,810.11,835.05,771,824.83,72555875.62
2017-01-13,824.83,838.9,808.27,819.63,36594482
2017-01-14,819.63,826.43,808.63,821.17,20004735.1
2017-01-15,821.17,836.66,817.7,827.34,27592899.17
2017-01-16,827.34,906.38,825.04,899.66,72272727.15
2017-01-17,899.66,913.67,845.87,872.03,61042392.11
2017-01-18,872.03,905.28,870.71,895.21,52300814.98
2017-01-19,895.21,901.49,878.9,892.91,34847130.33
2017-01-20,892.91,928.93,889.46,919.84,37129176.59
2017-01-21,919.84,938.38,888.62,918.84,44074299.79
2017-01-22,918.84,927.98,910.85,921.46,30261054.5
2017-01-23,921.46,925.61,889.15,893.75,53468911.31
2017-01-24,893.75,905.7,883.63,894.41,34014866.15
2017-01-25,894.41,919.32,893.49,915.56,30795685.98
2017-01-26,915.56,922.56,907.92,918.01,28503144.41
2017-01-27,918.01,921.89,912.84,918.51,13251844.02
2017-01-28,918.51,922.4,912.68,914.55,10214368.33
2017-01-29,914.55,922.35,911.51,920.73,17604172.47
2017-01-30,920.73,967.45,917.38,965.49,51869216.53
2017-01-31,965.49,986.57,959.82,982.43,44035816.37
2017-02-01,982.43,1009.13,973.5,1003.97,50633910.56
2017-02-02,1003.97,1023.72,989.21,1013.02,62431017.97
2017-02-03,1013.02,1041.04,1000.41,1031.85,40406542.54
2017-02-04,1031.85,1033.66,1004.05,1016.11,31669956.98
2017-02-05,1016.11,1030.6,1010.83,1024.67,32828350.27
2017-02-06,1024.67,1054.1,1019.87,1049.56,41318349.43
2017-02-07,1049.56,1069.23,1020.33,1055.49,68336320.22
2017-02-08,1055.49,1073.03,924.65,978.96,145839317.48
2017-02-09,978.96,1005.6,947.02,997.61,60639111.4
2017-02-10,997.61,1014.32,983.93,1008.32,28504495.1
2017-02-11,1008.32,1007.82,992.45,996.52,14825023.07
2017-02-12,996.52,1007.61,975.1,995.36,32785064.4
2017-02-13,995.36,1013.8,986.46,1008.34,39810076.3
2017-02-14,1008.34,1010.93,999.73,1008.19,23569549.45
2017-02-15,1008.19,1040.28,1007.39,1031.93,39114743.32
2017-02-16,1031.93,1057.39,1025.87,1049.41,47815360.54
2017-02-17,1049.41,1063.21,1044.68,1052.28,26856521.18
2017-02-18,1052.28,1056.48,1037.67,1048.89,18876881.86
2017-02-19,1048.89,1081.78,1040.99,1077.56,32959720.15
2017-02-20,1077.56,1123.03,1073.54,1119.03,62908569.43
2017-02-21,1119.03,1132.25,1094.83,1120.46,53647453.34
2017-02-22,1120.46,1181.6,1113.54,1171.91,75663167.44
2017-02-23,1171.91,1211.74,1092.41,1176.49,126978010.75
2017-02-24,1176.49,1180.01,1116.21,1149.05,53003830.46
2017-02-25,1149.05,1177.47,1130.61,1171.58,35750258.05
2017-02-26,1171.58,1195.82,1164.27,1188.83,42035366.64
2017-02-27,1188.83,1208.22,1175.75,1189.27,60371869.57
2017-02-28,1189.27,1225.04,1154.55,1222.66,61964760.57
2017-03-01,1222.66,1286.98,1211.96,1255.47,98040639.32
2017-03-02,1255.47,1291.35,1250.8,1283.3,85876262.86
2017-03-03,1283.3,1285.78,1228.73,1264.32,48597934.9
2017-03-04,1264.32,1273.28,1242.1,1271.22,32104972.38
2017-03-05,1271.22,1280.61,1261,1277.01,39591110.81
2017-03-06,1277.01,1280.89,1148.66,1232.69,108673876.49
2017-03-07,1232.69,1242.04,1136.88,1146.97,116342973.91
2017-03-08,1146.97,1206.97,1129.35,1191.33,70427061.57
2017-03-09,1191.33,1330.42,988.69,1112.39,223836041.81
2017-03-10,1112.39,1202.69,1104.78,1179.22,82387198.06
2017-03-11,1179.22,1235.46,1160.9,1225.11,53441762.07
2017-03-12,1225.11,1245.63,1205.61,1238.19,74376298.14
2017-03-13,1238.19,1255.52,1218.38,1243.14,56058617.23
2017-03-14,1243.14,1256.95,1236.43,1253.43,54486699.63
2017-03-15,1253.43,1260.24,1118.96,1172.88,159409024.53
2017-03-16,1172.88,1174.9,1063.48,1071.71,183879768.71
2017-03-17,1071.71,1103.61,940.18,971.38,212772055.65
2017-03-18,971.38,1063.67,967.31,1022.6,108128237.76
2017-03-19,1022.6,1057.5,1005.05,1047.51,63833143.48
2017-03-20,1047.51,1125.53,1043.87,1121.29,101051998.73
2017-03-21,1121.29,1121.88,997.78,1044.72,120730492.05
2017-03-22,1044.72,1062.79,1022.02,1035.03,58898141.13
2017-03-23,1035.03,1038.38,927.35,939.7,130042865.54
2017-03-24,939.7,995.96,890.43,966.3,118395054.45
2017-03-25,966.3,1004.32,946.65,969.44,83255983.42
2017-03-26,969.44,1048.85,961.8,1045.14,92332221.14
2017-03-27,1045.14,1068.41,1015.45,1044.42,83567551.46
2017-03-28,1044.42,1058.66,1008.34,1041.9,71261535.48
2017-03-29,1041.9,1052.66,1020.93,1037.91,77633883.53
2017-03-30,1037.91,1088.2,1035.18,1079.11,96543920.02
2017-03-31,1079.11,1103.74,1067.47,1086.12,55020078.21
2017-04-01,1086.12,1109.48,1074.21,1097.4,77853933.84
2017-04-02,1097.4,1157.87,1095.55,1147.56,111870807.42
2017-04-03,1147.56,1161.19,1122.15,1141.77,81164094.44
2017-04-04,1141.77,1143.84,1110.06,1129.87,78335573.66
2017-04-05,1129.87,1201.55,1130.51,1188.7,108182158.18
